Borough,Area,Unemployment rate  - 16+ white UK born,null...4,null...5,null...6,Unemployment rate  - 16+ white not UK born,null...8,null...9,null...10,Unemployment rate  - 16+ ethnic minority UK born,null...12,null...13,null...14,Unemployment rate  - 16+ ethnic minority not UK born,null...16,null...17,null...18,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,null,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,,,,,,,,,,,
,Hammersmith and Fulham,2600,47600,5.4,*,!,23700,!,!,!,10100,!,!,!,21900,!,!,,,,,,,,,,,
,Hammersmith and Fulham,1800,46900,3.8,*,!,29900,!,!,!,11900,!,!,!,13500,!,!,,,,,,,,,,,
,Haringey,2600,58700,4.4,4.5,1000,32800,3,*,4600,25200,18.3,13.5,3600,22400,16.2,12.6,,,,,,,,,,,
,Haringey,2900,56800,5.2,5.1,2600,38700,6.6,*,2900,19000,15,*,3100,26100,12,11.1,,,,,,,,,,,
,Haringey,900,57100,1.6,*,1800,42900,4.2,*,2200,21600,10.2,*,3100,24200,12.7,11.8,,,,,,,,,,,
,Haringey,3000,61900,4.9,4.6,!,38700,!,!,1300,23600,5.6,*,2000,27200,7.5,*,,,,,,,,,,,
,Haringey,1700,64900,2.7,*,!,45300,!,!,3300,17600,18.8,*,2000,28500,7,*,,,,,,,,,,,
,Haringey,!,67000,!,!,1700,45300,3.7,*,!,15800,!,!,1400,31700,4.6,*,,,,,,,,,,,
,Haringey,3400,78600,4.3,*,2300,45900,5,*,!,17600,!,!,!,14800,!,!,,,,,,,,,,,
,Haringey,1400,62000,2.3,*,1800,47300,3.7,*,2500,21600,11.7,*,!,28900,!,!,,,,,,,,,,,
,Haringey,2500,58200,4.3,*,!,46100,!,!,!,29200,!,!,!,27500,!,!,,,,,,,,,,,
,Harrow,2300,37100,6.2,*,1700,18300,9.1,*,1700,13700,12.3,*,6000,52100,11.4,6.6,,,,,,,,,,,
,Harrow,!,36500,!,!,!,16600,!,!,1900,14900,12.7,*,3900,56800,6.9,5.3,,,,,,,,,,,
,Harrow,1200,37500,3.2,*,!,18500,!,!,900,18000,5.1,*,3300,51300,6.4,5.5,,,,,,,,,,,
,Harrow,!,32700,!,!,!,25300,!,!,1600,16400,9.7,*,5200,53600,9.8,7,,,,,,,,,,,
,Harrow,!,32500,!,!,!,26200,!,!,!,21100,!,!,2200,49600,4.4,*,,,,,,,,,,,
,Harrow,!,23900,!,!,!,23700,!,!,3000,25800,11.5,*,1700,45400,3.8,*,,,,,,,,,,,
,Harrow,2900,33600,8.7,*,!,19400,!,!,!,29800,!,!,4700,42000,11.1,*,,,,,,,,,,,
,Harrow,1900,26500,7.2,*,#,16900,16.4,*,!,32600,!,!,2000,52700,3.8,*,,,,,,,,,,,
,Harrow,!,26100,!,!,!,15900,!,!,3400,35100,9.7,*,#,51200,6.5,*,,,,,,,,,,,
,Havering,7400,97500,7.6,4.8,1300,8300,15.2,*,1000,4500,22.1,*,!,9100,!,!,,,,,,,,,,,
,Havering,6600,103100,6.4,4.1,!,9300,!,!,1700,5000,33.5,*,!,11700,!,!,,,,,,,,,,,
,Havering,5100,100400,5.1,3.8,!,10600,!,!,!,7900,!,!,1000,9400,10.7,*,,,,,,,,,,,
,Havering,3700,106400,3.4,3.3,!,11600,!,!,!,5500,!,!,!,12200,!,!,,,,,,,,,,,
,Havering,5700,108700,5.2,3.7,!,6400,!,!,!,11100,!,!,!,12200,!,!,,,,,,,,,,,
,Havering,5400,91000,5.9,4.4,!,10300,!,!,!,17800,!,!,!,14200,!,!,,,,,,,,,,,
,Havering,3800,83700,4.5,4.3,!,18500,!,!,!,17300,!,!,!,21200,!,!,,,,,,,,,,,
,Havering,5200,94200,5.5,4.3,!,14500,!,!,!,18000,!,!,!,19900,!,!,,,,,,,,,,,
,Havering,!,96200,!,!,!,15500,!,!,1000,16100,6.5,*,!,20900,!,!,,,,,,,,,,,
,Hillingdon,5800,76400,7.6,5.5,!,10100,!,!,2500,17800,14.1,*,4000,46800,8.6,7.5,,,,,,,,,,,
,Hillingdon,3800,73900,5.2,4.5,!,22600,!,!,2000,14500,13.9,*,3800,40400,9.4,8,,,,,,,,,,,
,Hillingdon,3200,69600,4.6,*,!,17900,!,!,2800,20900,13.4,*,2800,46900,5.9,*,,,,,,,,,,,
,Hillingdon,2800,70700,4,*,!,23100,!,!,!,20000,!,!,2200,45400,4.8,*,,,,,,,,,,,
,Hillingdon,2000,63300,3.2,*,!,19200,!,!,2300,25800,8.8,*,2400,51000,4.7,*,,,,,,,,,,,
,Hillingdon,2100,48500,4.4,*,1900,26400,7,*,!,25800,!,!,2500,54500,4.7,*,,,,,,,,,,,
,Hillingdon,5700,67100,8.5,*,2700,17600,15.2,*,4900,33800,14.5,*,!,55200,!,!,,,,,,,,,,,
,Hillingdon,4400,69300,6.4,*,!,17000,!,!,!,19900,!,!,5100,66200,7.7,*,,,,,,,,,,,
,Hillingdon,5500,67100,8.2,*,!,16700,!,!,!,15600,!,!,3400,59600,5.8,*,,,,,,,,,,,
